DateTime,Entries,UniqueIPs
1457818496,3846,3846
1457905692,3844,3844
1457992819,3842,3842
1458079939,3850,3850
1458167096,3850,3850
1458254209,3854,3854
1458341300,3856,3856
1458428433,3860,3860
1458515822,3860,3860
1458602925,3859,3859
1458690022,3858,3858
1458777160,3861,3861
1458864252,3866,3866
1458951396,3873,3873
1459038537,3879,3879
1459125622,3874,3874
1459212770,3877,3877
1459300117,3893,3893
1459387253,3914,3914
1459474421,3918,3918
1459561473,3922,3922
1459648591,3925,3925
1459735722,3926,3926
1459823068,3929,3929
1459910196,3916,3916
1459997303,3916,3916
1460084443,3922,3922
1460171560,3920,3920
1460258699,3920,3920
1460345839,3920,3920
1460432919,3932,3932
1460520090,3934,3934
1460607172,3934,3934
1460694259,3935,3935
1460781415,3934,3934
1460868595,3932,3932
1460955653,3930,3930
1461042654,3932,3932
1461129846,3937,3937
1461216974,3933,3933
1461304114,3924,3924
1461391234,3921,3921
1461478388,3922,3922
1461565455,3926,3926
1461652601,3922,3922
1461739712,3924,3924
1461826837,3917,3917
1461913941,3928,3928
1462001065,3931,3931
1462088195,3933,3933
1462175327,3935,3935
1462262430,3934,3934
1462349585,3934,3934
1462436657,3942,3942
1462523808,3942,3942
1462610904,3944,3944
1462698061,3937,3937
1462785171,3940,3940
1462872483,3950,3950
1462959629,3959,3959
1463046743,3958,3958
1463134158,3987,3987
1463221253,3999,3999
1463308359,3998,3998
1463395455,3998,3998
1463482586,3997,3997
1463569727,4008,4008
1463656845,4006,4006
1463743961,4034,4034
1463831055,4047,4047
1463918186,4048,4048
1464005306,4042,4042
1464092449,4039,4039
1464179576,4041,4041
1464353823,4042,4042
1464440909,4056,4056
1464528011,4050,4050
1464615153,4050,4050
1464702268,4044,4044
1464789384,4045,4045
1464876505,4043,4043
1464963878,4038,4038
1465050986,4039,4039
1465138113,4039,4039
1465225235,4038,4038
1465312396,4036,4036
1465399397,4039,4039
1465486531,4041,4041
1465573730,4040,4040
1465660826,4042,4042
1465748041,4040,4040
1465835063,4046,4046
1465922195,4046,4046
1466009325,4047,4047
1466096458,4047,4047
1466183796,4047,4047
1466270913,4047,4047
1466357994,4050,4050
1466532257,4055,4055
1466619385,4063,4063
1466706494,4067,4067
1466793615,4073,4073
1466967867,4075,4075
1467054984,4073,4073
1467142099,4100,4100
1467229220,4121,4121
1467316417,4123,4123
1467403468,4126,4126
1467490591,4124,4124
1467577779,4129,4129
1467664912,4128,4128
1467751960,4130,4130
1467838985,4199,4199
1467926189,4237,4237
1468013296,4270,4270
1468100436,4271,4271
1468187544,4268,4268
1468274660,4266,4266
1468361815,4266,4266
1468448911,4260,4260
1468536022,4264,4264
1468623146,4267,4267
1468710262,4267,4267
1468797381,4301,4301
1468884515,4302,4302
1468971628,4302,4302
1469058756,4313,4313
1469145857,4314,4314
1469232983,4321,4321
1469320107,4320,4320
1469407233,4321,4321
1469494361,4326,4326
1469581463,4328,4328
1469668585,4339,4339
1469755725,4339,4339
1469842821,4348,4348
1469929962,4346,4346
1470017057,4344,4344
1470104202,4345,4345
1470191299,4346,4346
1470278422,4340,4340
1470365556,4339,4339
1470452661,4354,4354
1470539846,4349,4349
1470626907,4345,4345
1470714015,4350,4350
1470801164,4362,4362
1470888258,4381,4381
1470975415,4378,4378
1471062508,4403,4403
1471149636,4402,4402
1471236765,4403,4403
1471323871,4414,4414
1471410985,4412,4412
1471498098,4427,4427
1471585225,4431,4431
1471672333,4340,4340
1471759473,2998,2998
1471846605,2994,2994
1471933738,2999,2999
1472020861,3000,3000
1472107945,3047,3047
1472195324,3071,3071
1472282420,3083,3083
1472369550,3073,3073
1472456653,3072,3072
1472543791,3062,3062
1472630898,3092,3092
1472718022,3186,3186
1472805145,3238,3238
1472892249,3228,3228
1472979384,3228,3228
1473066550,3226,3226
1473153636,3226,3226
1473240743,3244,3244
1473327867,3284,3284
1473414990,3281,3281
1473502122,3283,3283
1473589230,3316,3316
1473676349,3315,3315
1473763460,3315,3315
1473850589,3348,3348
1473937750,3375,3375
1474024817,3397,3397
1474111947,3378,3378
1474199056,3403,3403
1474286182,3412,3412
1474373318,3417,3417
1474460460,3416,3416
1474547566,3415,3415
1474634662,3407,3407
1474721799,3408,3408
1474808904,3346,3346
1474896030,3353,3353
1474983141,3351,3351
1475070271,3350,3350
1475157377,3393,3393
1475244504,3457,3457
1475331638,3452,3452
1475418760,3452,3452
1475505863,3449,3449
1475592990,3443,3443
1475680107,3462,3462
1475767224,3457,3457
1475854345,3450,3450
1475941478,3443,3443
1476028594,3431,3431
1476115702,3423,3423
1476202829,3412,3412
1476289945,3385,3385
1476377061,3359,3359
1476464189,3324,3324
1476551306,3301,3301
1476638423,3268,3268
1476725555,3261,3261
1476812656,3262,3262
1476899658,3256,3256
1476986670,3249,3249
1477073790,3250,3250
1477160909,3223,3223
1477248012,3222,3222
1477335140,3219,3219
1477422267,3219,3219
1477509481,3220,3220
1477596761,3221,3221
1477683864,3219,3219
1477770983,3215,3215
1477858112,3249,3249
1477945234,3249,3249
1478032350,3279,3279
1478119696,3294,3294
1478206779,3319,3319
1478293974,3317,3317
1478380999,3346,3346
1478468199,3346,3346
1478555311,3340,3340
1478642719,3356,3356
1478729799,3351,3351
1478816906,3376,3376
1478904035,3377,3377
1478991164,3375,3375
1479078274,3372,3372
1479165647,3373,3373
1479252756,3368,3368
1479339847,3355,3355
1479427001,3351,3351
1479514127,3347,3347
1479601258,3348,3348
1479775461,3335,3335
1479862641,3343,3343
1479949742,3404,3404
1480036821,3426,3426
1480123953,3409,3409
1480211080,3471,3471
1480385299,3467,3467
1480472428,3492,3492
1480559543,3491,3491
1480646662,3541,3541
1480820906,3588,3588
1480908025,3586,3586
1480995460,3608,3608
1481083451,3646,3646
1481170829,3643,3643
1481257967,3643,3643
1481345084,3658,3658
1481432206,3706,3706
1481519314,3715,3715
1481606415,3711,3711
1481693577,3729,3729
1481780659,3730,3730
1481867832,3802,3802
1481954916,3837,3837
1482042015,3882,3882
1482129141,3915,3915
1482216269,3918,3918
1482303391,3922,3922
1482390552,3920,3920
1482477677,3924,3924
1482564752,3922,3922
1482651896,3925,3925
1482738986,3920,3920
1482826144,3921,3921
1482913253,3921,3921
1483000355,3921,3921
1483087454,3924,3924
1483174590,3926,3926
1483261701,3928,3928
1483348812,3946,3946
1483435975,3947,3947
1483523061,3950,3950
1483610190,3951,3951
1483697305,3949,3949
1483784447,3955,3955
1483871825,3954,3954
1483958903,3951,3951
1484046288,3953,3953
1484133387,3950,3950
1484220516,3950,3950
1484307637,3954,3954
1484394757,3957,3957
1484481869,3960,3960
1484569253,3960,3960
1484656339,3973,3973
1484743458,3967,3967
1484830585,3968,3968
1484917739,3967,3967
1485004820,3963,3963
1485091938,3956,3956
1485179049,3957,3957
1485266181,3983,3983
1485353316,3984,3984
1485440445,3983,3983
1485527547,3980,3980
1485614663,3976,3976
1485701814,3970,3970
1485788899,3965,3965
1485876072,3964,3964
1485963153,3967,3967
1486050249,3961,3961
1486137401,3948,3948
1486224528,3941,3941
1486311626,3935,3935
1486398781,3929,3929
1486485854,3925,3925
1486573009,3918,3918
1486660115,3917,3917
1486747489,3917,3917
1486834721,3939,3939
1486921950,3942,3942
1487009343,3937,3937
1487096455,3938,3938
1487183588,3936,3936
1487270647,3936,3936
1487357788,3935,3935
1487444933,3932,3932
1487532036,3926,3926
1487619157,3924,3924
1487706266,3923,3923
1487793395,3920,3920
1487880517,3914,3914
1487967629,3910,3910
1488054756,3909,3909
1488141848,3892,3892
1488228979,3891,3891
1488316122,3898,3898
1488403246,3898,3898
1488490356,3896,3896
1488577450,3887,3887
1488664601,3886,3886
1488751715,3883,3883
1488838829,3881,3881
1488925993,3880,3880
1489013060,3894,3894
1489100184,3893,3893
1489187317,3890,3890
1489274448,3893,3893
