DateTime,AddedIPs,RemovedIPs
1449205805,41,0
1449292804,58,0
1449379804,37,0
1449466803,26,0
1449640807,69,2
1449727803,21,1
1449814802,22,15
1449901809,11,21
1450075803,20,57
1450162804,16,22
1450249821,42,25
1450336802,16,19
1450423803,16,34
1450510803,24,38
1450597803,30,4
1450684808,19,15
1450771803,24,45
1450858802,29,31
1450945803,20,34
1451032804,20,42
1451119803,33,30
1451206804,6,15
1451293804,12,8
1451380803,7,9
1451467803,20,16
1451554803,34,19
1451641803,39,32
1451728807,26,43
1451815802,8,28
1451902802,1,29
1451989803,9,35
1452076802,5,35
1452163803,5,41
1452250805,3,31
1452337803,3,25
1452424803,3,27
1452511802,3,13
1452598802,1,17
1452685802,9,13
1452772804,0,14
1452859802,6,20
1452946803,3,22
1453120802,12,56
1453207840,3,23
1453294802,0,24
1453381802,4,23
1453468803,7,43
1453555807,2,20
1453642802,9,43
1453729802,2,24
1453903802,1,19
1453990802,3,15
1454077802,1,15
1454251802,6,83
1454338807,3,49
1454425802,0,3
1454512801,0,4
1454599803,0,3
1454686803,0,4
1454773802,0,4
1454860806,0,5
1454947802,0,5
1455034803,0,6
1455121802,0,4
1455208802,0,4
1455295803,0,5
1455469803,0,10
1455643802,0,8
1455817802,0,5
1455904803,0,6
1455991802,0,11
1456078802,0,9
1456165802,0,3
1456252802,0,3
1456513803,0,17
1456600802,0,8
1456781403,0,9
1456955402,0,39
1457129402,0,26
1457564405,104,1
1457651403,21,0
1457999402,51,0
1458086404,12,0
1458173402,9,0
1458260402,2,0
1458347402,21,0
1458434402,15,1
1458521406,17,0
1458608402,9,0
1458695402,7,0
1458782402,8,0
1458869402,5,2
1458956402,7,0
1459043402,15,0
1459130406,14,0
1459217402,18,0
1459304402,12,0
1459391402,4,0
1459565416,11,0
1459652403,23,0
1459739402,20,0
1459913403,94,18
1460000402,7,14
1460087403,2,5
1460174405,2,20
1460348402,3,28
1460522402,7,26
1460609402,1,6
1460696411,3,14
1460783402,3,22
1460870401,0,8
1460957405,1,16
1461044405,0,14
1461131403,1,10
1461479402,7,30
1461566402,3,14
1461653402,0,12
1461740405,3,5
1461827402,2,16
1461914402,1,14
1462001402,1,4
1462088402,1,16
1462175404,1,11
1462262402,0,29
1462349402,1,21
1462436402,0,52
1462523402,1,3
1462697402,1,1
1462784405,0,1
