DateTime,AddedIPs,RemovedIPs
1476854400,603,1449
1476898200,1423,1514
1476942000,2025,1720
1476985200,905,1364
1477028401,1264,1012
1477071600,1281,1395
1477114800,655,1328
1477158000,826,557
1477201200,571,543
1477244400,488,605
1477287600,464,461
1477330800,1683,518
1477374000,1226,441
1477417200,896,567
1477460400,2420,504
1477503601,3519,827
1477546801,1066,622
1477590000,4471,645
1477633200,2455,653
1477676401,4414,803
1477719600,796,660
1477762800,633,1059
1477806001,602,766
1477849201,752,981
1477892400,672,535
1477935601,2133,494
1477978800,42,560
1478022000,40,1029
1478065201,49,524
1478108400,29,616
1478151600,35,536
1478194801,28,1459
1478238601,39,1710
1478282400,36,783
1478325601,22,1328
1478368801,36,1150
1478412000,32,670
1478455200,36,785
1478498400,29,588
1478541602,32,529
1478584800,26,533
1478628000,43,1709
1478671200,29,1186
1478714400,32,955
1478757600,22,2569
1478800801,32,3435
1478844001,35,1025
1478887200,35,4467
1478930401,30,2883
1478973601,26,4325
1479016800,35,1070
1479060000,37,1302
1479103200,30,1514
1479146401,30,5996
1479189600,35,37
1479232801,30,39
1479276000,37,28
1479319200,32,36
1479362401,26,36
1479405601,29,28
1479448800,25,34
1479492000,36,25
1479535200,32,27
1479578400,28,41
1479621601,32,57
1479664800,25,35
1479708001,28,43
1479751200,28,46
1479794400,28,27
1479837600,24,25
1479880800,26,24
1479924001,27,30
1479967200,30,42
1480010400,31,41
1480053601,43,37
1480096800,26,33
1480140000,37,60
1480183200,21,80
1480226400,27,34
1480269601,29,101
1480312801,27,73
1480356000,25,91
1480399200,31,36
1480442400,31,30
1480485600,26,31
1480528800,26,48
1480572001,31,28
1480615200,30,36
1480658401,28,45
1480701604,32,23
1480744801,32,31
1480788000,26,20
1480831200,33,33
1480874400,21,26
1480917600,28,34
1480960800,25,31
1481004000,45,33
1481047800,23,28
1481091600,29,38
1481135400,31,28
1481179200,29,36
1481222401,51,22
1481265600,31,38
1481308800,32,32
1481352000,30,30
1481395200,28,29
1481438400,22,33
1481482201,39,28
1481526000,25,36
1481569200,28,29
1481612400,37,24
1481655600,24,30
1481698800,33,30
1481742000,23,40
1481785200,30,55
1481828401,25,42
1481871600,37,32
1481914801,15,32
1481958000,41,33
1482001200,25,22
1482044400,30,36
1482087601,32,18
1482130800,32,37
1482174000,44,21
1482217200,26,32
1482260404,22,28
1482303601,29,32
1482346801,36,24
1482390000,29,30
1482433201,29,34
1482477000,30,21
1482520800,27,41
1482564000,33,40
1482607200,23,23
1482650400,23,30
1482693600,30,41
1482736801,25,32
1482780001,26,28
1482823201,38,30
1482866400,40,31
1482909600,47,22
1482952801,26,39
1482996000,29,24
1483039201,36,34
1483082401,227,74
1483125600,26,28
1483168800,26,33
1483212000,17,32
1483255200,25,31
1483298401,27,37
1483341600,30,29
1483384800,35,37
1483428000,36,22
1483471200,35,21
1483514400,26,22
1483558200,30,29
1483602001,30,41
1483645200,44,31
1483688400,29,31
1483732200,27,31
1483776000,43,20
1483819200,37,33
1483862400,29,33
1483906201,25,30
1483950001,29,32
1483993201,31,31
1484036400,33,34
1484080201,37,33
1484124000,32,26
1484167201,17,26
1484210400,27,34
1484253601,34,27
1484297401,113,29
1484362800,47,32
1484406600,24,27
1484450400,31,24
1484493600,28,49
1484536801,27,24
1484580000,29,27
1484623200,48,26
1484666400,20,26
1484709601,46,26
1484752801,25,31
1484796000,79,27
1484839200,22,30
1484882400,3397,30
1484925601,22,33
1484968800,3737,259
1485012000,1197,19
1485055200,1245,74
1485098400,1221,144
1485141600,1059,160
1485184800,981,126
1486102801,12580,1505
1486146000,687,22
1486189201,33,414
1486232401,727,615
1486275600,26,519
1486318800,722,517
1486362000,32,497
1487455200,9448,9393
1487498400,21,36
1487541601,740,584
1487584800,31,41
1487628001,500,791
1487671200,34,30
1487714401,28,252
1487757600,708,766
1487800801,1030,182
1487844000,40,907
1487887202,1163,1091
1487930402,38,37
1487973602,33,493
1488016802,29,36
1488060001,620,638
1488103201,30,38
1488146401,694,597
1488189602,30,36
1488232802,404,590
1488276001,34,30
1488319201,743,977
1488362402,27,23
1488405601,834,1188
1488448802,28,26
1488492001,756,949
1488535201,22,20
1488578402,882,908
1488621602,17,23
1488664801,726,681
1488708001,28,23
1488751202,778,718
1488794402,19,28
1488837604,561,504
1488880801,23,22
1488924004,649,26
1488967202,23,614
1489010401,636,1171
1489053601,58,27
1489096802,731,1161
1489140001,3,2
1489183202,1313,43
1489226401,29,20
1489269601,2740,615
1489312801,35,1
1489356001,616,573
1489399201,23,37
1489442402,490,345
1489485601,29,26
1489528801,633,674
1489572001,49,21
1489615801,1415,718
1489659601,26,23
1489702801,676,611
1489746601,23,22
1489790401,578,801
1489833601,27,21
1489876801,745,599
1489920001,30,31
1489963201,741,696
1490006401,20,28
1490049601,564,456
1490092801,47,30
1490136001,826,560
1490179201,19,28
1490222401,770,588
1490265601,25,18
1490308801,781,551
1490352001,28,20
1490395201,785,1319
1490438401,24,25
1490481601,785,2593
1490524801,21,30
1490568001,635,615
1490611201,25,27
1490654401,584,501
1490697601,26,13
1490740801,629,653
1490784001,21,26
1490827201,679,1422
1490870401,32,25
1490913601,619,668
1490956801,23,12
1491000001,702,626
1491043201,44,18
1491086401,641,798
1491129601,27,20
1491172801,582,726
1491216001,27,22
1491259201,572,659
1491302401,19,24
1491346801,612,837
1491390002,1,0
1491433201,48,812
1491476401,29,25
1491519602,749,907
1491563401,27,2
1491607201,521,927
1491650401,31,52
1491693601,698,918
1491736801,25,17
1491780001,546,766
1491823201,21,29
1491866401,485,699
1491909601,22,26
1491952801,579,713
1491996601,109,16
1492040401,330,656
1492083601,303,19
1492126801,707,700
1492170001,93,21
1492213201,324,769
1492256401,21,15
1492299601,516,766
1492342801,22,37
1492386001,514,702
1492429201,16,34
1492472401,576,647
1492515601,21,20
1492559401,748,757
1492603202,16,22
1492646401,678,22
1492689601,19,46
1492732801,1987,743
1492776001,18,26
1492819202,914,683
1492862401,16,21
1492906201,561,848
1492950001,24,24
1492993201,510,565
1493037001,20,24
1493080801,21,653
1493124001,15,18
1493167201,653,476
1493211001,16,22
1493254802,253,307
1493298002,27,753
1493341201,766,189
1493384401,19,484
1493427602,478,785
1493470804,15,22
1493514001,680,610
1493557801,15,23
1493601601,574,639
1493645401,33,27
1493689201,530,670
1493732401,17,31
1493775601,658,779
1493818801,14,32
1493862001,873,756
1493905201,26,32
1493948401,586,2188
1493991601,471,10
1494034801,333,1015
1494078001,18,32
1494121801,513,668
1494165601,17,28
1494208801,721,598
1494252002,13,24
1494295201,603,33
1494339001,16,26
1494382801,690,636
1494426001,26,19
1494469201,801,27
1494512401,21,24
1494555383,653,514
1494598577,19,23
1494641779,759,529
1494684984,23,22
1494728179,672,524
1494771377,24,36
1494836173,758,535
1494879382,633,340
1494922583,27,25
1494965781,426,624
1495008986,20,23
1495052186,650,116
1495095383,18,522
1495138582,585,410
1495181782,23,661
1495224983,51,318
1495268178,644,392
1495312285,571,550
1495355478,29,25
1495398683,691,23
1495441884,20,559
1495485084,462,510
1495528281,28,18
1495571487,609,580
1495614689,28,28
1495657890,677,739
1495701081,19,38
1495744286,20,691
1495787481,669,21
1495830683,313,769
1495873887,18,35
1495917079,720,698
1495960276,21,19
1496003476,655,757
1496046673,21,22
1496112372,493,670
1496155572,24,23
1496198773,726,482
1496241977,17,22
1496285198,1416,720
1496328375,25,27
1496371577,603,603
1496414777,19,28
1496458888,26,553
1496502978,781,29
1496546171,17,756
1496589375,709,28
1496632575,25,721
1496675774,819,22
1496718982,26,439
1496762177,14,14
1496805375,747,599
1496848584,16,15
1496891769,597,665
1496934975,17,21
1496978172,20,33
1497021378,28,383
1497064572,20,741
1497107771,17,20
1497150972,21,870
1497194170,26,36
1497237373,25,901
1497280568,19,17
1497323775,25,757
1497366970,12,19
1497410169,1061,1069
1497453370,18,12
1497496570,60,1818
1497539769,22,25
1497582965,22,1189
1497626172,22,16
1497669367,22,33
1497712569,14,1579
1497755769,23,19
1497798963,16,1811
1497842163,21,25
1497885364,22,2068
1497928564,44,27
1497971767,14,15
1498014967,29,2274
1498058158,21,30
1498101367,2220,1981
1498144565,1244,17
1498187761,25,29
1498230963,1660,14
1498274165,46,25
1498317371,24,16
1498360568,1872,20
1498403784,24,23
1498446985,1481,21
1498490206,29,20
1498533404,1170,26
1498576600,22,23
1498619800,1111,3124
1498663003,17,23
1498706202,1579,26
1498749405,18,24
1498792603,51,26
1498835806,1862,13
1498879008,573,31
1498922204,75,19
1498965408,862,17
1499008606,17,18
1499051799,783,20
1499095004,423,20
1499138199,392,21
1499181404,535,17
1499224611,383,24
1499267807,25,28
1499311012,652,2554
1499354208,16,1226
1499397400,1309,31
1499440607,1063,1654
1499483802,510,45
1499527004,889,22
1499570220,29,1874
1499613419,14,20
1499656622,17,1466
1499699820,22,28
1499743026,25,1175
1499788959,1421,1043
1499832164,1514,73
1499875365,28,1565
1499918563,810,307
1499961762,26,18
1500004961,20,139
1500048158,15,1852
1500091357,18,645
1500134565,1305,32
1500177764,25,861
1500220964,11,24
1500264162,16,789
1500307361,21,21
1500350564,18,764
1500393763,19,15
1500436962,20,905
